FEATURE MATRIX - ESTRUCTURA OPTIMIZADA PARA XGBOOST,,,,,
"Variables ordenadas por PODER PREDICTIVO (1 = máximo, 615 = mínimo)",,,,,
Esta es la estructura de la TABLA PLANA que alimentará XGBoost,,,,,
,,,,,
PRIORIDAD,FEATURE_NAME,TIPO_DATO,NULL_ESPERADO,ORIGEN_TABLA,DESCRIPCIÓN
40,h2h_last5_away_wins,VARCHAR(100),RARE,match_h2h,Victorias visitante últimos 5 H2H.
41,win_streak,VARCHAR(100),RARE,team_season_stats,Partidos consecutivos ganados.
42,winless_streak,VARCHAR(100),RARE,team_season_stats,Partidos consecutivos sin ganar.
43,clean_sheet_streak,VARCHAR(100),RARE,team_season_stats,Partidos consecutivos sin encajar.
44,failed_to_score_streak,VARCHAR(20),RARE,team_season_stats,Partidos consecutivos sin marcar.
45,player_xg_match,"DECIMAL(5,2)",RARE,player_match_stats,xG generado por el jugador.
46,xg_from_transitions,"DECIMAL(5,3)",RARE,team_season_stats,Expected Goals generados en contraataques.
47,xga_season,"DECIMAL(5,3)",RARE,team_season_stats,Expected Goals Against acumulados.
48,xg_overperformance,"DECIMAL(5,3)",RARE,team_season_stats,Goles reales - xG (suerte/calidad).
49,player_xg_season,"DECIMAL(5,2)",RARE,player_season_stats,Expected Goals del jugador.
50,npxg_season,"DECIMAL(5,3)",RARE,team_season_stats,Non-penalty xG temporada.
51,xg_from_set_pieces,"DECIMAL(5,3)",RARE,team_season_stats,Expected Goals generados de balón parado.
52,xg_season,"DECIMAL(5,3)",RARE,team_season_stats,Expected Goals acumulados temporada.
53,goals_prevented,SMALLINT,RARE,player_season_stats,Diferencia entre xGOT enfrentado y goles recibidos (calidad).
54,avg_rating_league,"DECIMAL(6,3)",RARE,player_season_stats,Rating promedio solo en partidos de liga doméstica.
55,avg_rating_no_crowd,"DECIMAL(6,3)",RARE,player_season_stats,Rating promedio en partidos a puerta cerrada.
56,avg_rating_as_substitute,"DECIMAL(6,3)",RARE,player_season_stats,Rating promedio cuando entra de suplente vs titular.
57,avg_rating_continental,"DECIMAL(6,3)",RARE,player_season_stats,Rating promedio en Champions/Libertadores/Europa League.
58,avg_rating_season,"DECIMAL(6,3)",RARE,player_season_stats,Rating promedio en la temporada.
59,avg_rating_domestic_cup,"DECIMAL(6,3)",RARE,player_season_stats,Rating promedio en copas nacionales.
60,points_gap,VARCHAR(100),RARE,match_context,Diferencia puntos entre ambos equipos.
61,away_points,VARCHAR(100),RARE,match_context,Puntos acumulados equipo visitante.
62,points_needed_for_objective,VARCHAR(100),RARE,match_context,Puntos necesarios para objetivo (presión).
63,home_points,VARCHAR(100),RARE,match_context,Puntos acumulados equipo local.
64,h2h_away_wins,VARCHAR(100),SOMETIMES,match_h2h,Victorias del visitante en H2H total.
65,h2h_home_wins,VARCHAR(100),SOMETIMES,match_h2h,Victorias del local en H2H total.
66,h2h_last_match_result,VARCHAR(20),SOMETIMES,match_h2h,Resultado último H2H (W/D/L local).
67,h2h_last_match_score,VARCHAR(20),SOMETIMES,match_h2h,Marcador exacto último H2H ('2-1').
68,h2h_draws,VARCHAR(100),SOMETIMES,match_h2h,Empates en historial completo.
69,referee_h2h_away_team_record,VARCHAR(20),SOMETIMES,referee_match_history,Historial W/D/L del árbitro con visitante.
70,manager_h2h_total_matches,VARCHAR(100),SOMETIMES,manager_match_context,Total enfrentamientos entre técnicos.
71,h2h_days_since_last,SMALLINT,SOMETIMES,match_h2h,Días desde último enfrentamiento.
72,manager_h2h_record,VARCHAR(20),SOMETIMES,manager_match_context,Historial enfrentamientos W/D/L técnicos.
73,referee_h2h_home_team_record,VARCHAR(20),SOMETIMES,referee_match_history,Historial W/D/L del árbitro con equipo local.
74,h2h_total_matches,VARCHAR(100),SOMETIMES,match_h2h,Total partidos históricos entre ambos.
75,family_h2h_record,VARCHAR(20),SOMETIMES,match_emotional_connections,Record W/D/L en enfrentamientos previos contra su familiar.
76,home_league_position,VARCHAR(100),RARE,match_context,Posición tabla local ANTES del partido.
77,snapshot_league_position,VARCHAR(100),RARE,team_season_stats,Posición en tabla al momento del snapshot.
78,away_league_position,VARCHAR(100),RARE,match_context,Posición tabla visitante ANTES del partido.
79,home_relegation_zone_flag,BOOLEAN,RARE,match_context,BOOL: Local en zona descenso.
80,away_relegation_zone_flag,BOOLEAN,RARE,match_context,BOOL: Visitante en zona descenso.
81,away_european_race_flag,BOOLEAN,RARE,match_context,BOOL: Visitante pelea plazas europeas.
82,away_title_race_flag,BOOLEAN,RARE,match_context,BOOL: Visitante en lucha por título.
83,home_european_race_flag,BOOLEAN,RARE,match_context,BOOL: Local pelea plazas europeas.
84,home_title_race_flag,BOOLEAN,RARE,match_context,BOOL: Local en lucha por título.
85,is_derby,BOOLEAN,RARE,match_context,BOOL: Derbi local/regional.
86,is_rivalry_match,BOOLEAN,RARE,match_context,BOOL: Rivalidad histórica especial.
87,competition_stage,VARCHAR(50),RARE,matches,Categórica: grupos/octavos/cuartos/semifinal/final/liga.
88,matchday,VARCHAR(100),RARE,matches,Número de jornada dentro de la competición.
89,continental_stage,VARCHAR(50),RARE,player_tournament_context,NULL/GROUPS/R16/QF/SF/FINAL. Fase actual en Champions/Libertadores.
90,team_formation,VARCHAR(50),RARE,match_lineups,"Formación táctica (4-3-3, 4-4-2, 3-5-2)."
91,formation_change_vs_last,BOOLEAN,RARE,match_lineups,BOOL: Formación cambió vs partido anterior.
92,lineup_changes_vs_last,VARCHAR(100),RARE,match_lineups,Número de cambios en XI (0-11).
93,team_market_value_xi,"DECIMAL(5,2)",RARE,match_lineups,Valor mercado total del XI en EUR.
94,team_avg_age_xi,"DECIMAL(5,2)",RARE,match_lineups,Edad promedio del XI inicial.
95,team_avg_height_xi,"DECIMAL(5,2)",SOMETIMES,match_lineups,Altura promedio del XI en cm. Clave para duelos aéreos.
96,is_starter,BOOLEAN,SOMETIMES,match_lineups,BOOL: Empieza partido o está en banquillo.
97,match_position,VARCHAR(100),SOMETIMES,match_lineups,Posición específica en este partido.
98,academy_players_count_xi,"DECIMAL(5,2)",SOMETIMES,match_lineups,Número canteranos en XI.
99,team_total_caps_xi,"DECIMAL(5,2)",SOMETIMES,match_lineups,Suma partidos internacionales del XI.
100,goals_from_corners_against,SMALLINT,SOMETIMES,team_season_stats,Goles recibidos de corner en la temporada.
101,striker_partnership_minutes,SMALLINT,SOMETIMES,match_lineups,Minutos jugados juntos por la dupla de ataque titular.
102,captain_playing_flag,BOOLEAN,SOMETIMES,match_lineups,BOOL: El capitán oficial está en el XI titular.
103,goals_from_corners_for,SMALLINT,SOMETIMES,team_season_stats,Goles anotados de corner en la temporada.
104,xga_from_set_pieces,"DECIMAL(5,3)",SOMETIMES,team_season_stats,Expected Goals concedidos de balón parado.
105,striker_partnership_goals,SMALLINT,SOMETIMES,match_lineups,Goles donde participaron ambos de la dupla (gol+asist).
106,penalty_taker_available,BOOLEAN,SOMETIMES,match_lineups,BOOL: Lanzador habitual en XI.
107,snapshot_date,DATE,SOMETIMES,team_season_stats,Fecha del snapshot de datos.
108,is_captain,BOOLEAN,SOMETIMES,match_lineups,BOOL: Es capitán del equipo.
109,corner_conversion_rate,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% de corners que terminan en gol.
110,days_without_win,SMALLINT,SOMETIMES,team_season_stats,Días naturales desde última victoria.
111,collapses_season,VARCHAR(100),SOMETIMES,team_season_stats,"Partidos colapsados (ganando al HT, perdiendo al FT)."
112,goalkeeper_regular_flag,BOOLEAN,SOMETIMES,match_lineups,BOOL: Juega el portero titular.
113,matches_played,VARCHAR(100),SOMETIMES,team_season_stats,Partidos jugados en la temporada.
114,goals_from_counter_attack,SMALLINT,SOMETIMES,team_season_stats,Goles anotados en transición rápida/contraataque.
115,aerial_duels_won_pct_season,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% de duelos aéreos ganados.
116,avg_possession_season,VARCHAR(100),SOMETIMES,team_season_stats,Posesión media en la temporada.
117,fouls_committed_avg_season,"DECIMAL(6,3)",SOMETIMES,team_season_stats,Media faltas cometidas por partido.
118,goals_conceded_counter,SMALLINT,SOMETIMES,team_season_stats,Goles recibidos en contraataques rivales.
119,minutes_since_last_team_goal,SMALLINT,SOMETIMES,team_season_stats,Minutos desde el último gol del equipo (sequía).
120,snapshot_points,VARCHAR(100),SOMETIMES,team_season_stats,Puntos al momento del snapshot.
121,goals_from_substitutes,SMALLINT,SOMETIMES,team_season_stats,Goles anotados por jugadores que entraron de suplentes.
122,assists_from_substitutes,SMALLINT,SOMETIMES,team_season_stats,Asistencias de jugadores que entraron de suplentes.
123,pass_accuracy_season,VARCHAR(100),SOMETIMES,team_season_stats,Precisión de pases en temporada.
124,minutes_without_scoring,SMALLINT,SOMETIMES,team_season_stats,Minutos acumulados sin gol.
125,avg_transition_speed,VARCHAR(100),SOMETIMES,team_season_stats,Segundos promedio desde recuperación hasta tiro en transición.
126,possession_final_third_pct,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% de posesión en el último tercio del campo.
127,team_win_rate_no_crowd,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% victorias del equipo en partidos sin público.
128,extra_time_win_rate,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% victorias cuando el partido va a prórroga.
129,progressive_passes_per90,VARCHAR(100),SOMETIMES,team_season_stats,Pases que avanzan >10m hacia portería rival por 90min.
130,goals_from_direct_freekick,SMALLINT,SOMETIMES,team_season_stats,Goles de falta directa en temporada.
131,comebacks_season,VARCHAR(100),SOMETIMES,team_season_stats,"Partidos remontados (perdiendo al HT, ganando al FT)."
132,penalty_shootout_win_rate,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% victorias en tandas de penales histórico.
133,aerial_duels_won_def_pct,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% duelos aéreos ganados por defensas centrales.
134,penalty_shootout_matches,VARCHAR(100),SOMETIMES,team_season_stats,Total partidos definidos por tandas de penales en historia del club.
135,offsides_won_season,VARCHAR(100),SOMETIMES,team_season_stats,Fueras de juego provocados por la defensa en temporada.
136,substitute_impact_index,"DECIMAL(6,3)",SOMETIMES,team_season_stats,Índice de impacto de suplentes (goles+asist por minuto jugado).
137,interceptions_per90,VARCHAR(100),SOMETIMES,team_season_stats,Intercepciones por cada 90 minutos jugados.
138,last_shootout_result,DATE,SOMETIMES,team_season_stats,W/L y fecha de última tanda de penales. Memoria reciente.
139,tackles_won_pct_season,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% de entradas ganadas.
140,defensive_errors_to_goal,VARCHAR(100),SOMETIMES,team_season_stats,Errores defensivos que llevaron a gol rival.
141,ppda_season,VARCHAR(100),SOMETIMES,team_season_stats,Passes Per Defensive Action (presión).
142,extra_time_matches_total,VARCHAR(100),SOMETIMES,team_season_stats,Partidos que llegaron a tiempo extra en historia.
143,field_tilt_pct,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% del tiempo que el juego transcurre en campo rival.
144,fouls_received_avg_season,"DECIMAL(6,3)",SOMETIMES,team_season_stats,Media faltas recibidas por partido.
145,goals_in_extra_time_total,SMALLINT,SOMETIMES,team_season_stats,Goles marcados en tiempos extra históricos.
146,defensive_line_height_avg,"DECIMAL(6,3)",SOMETIMES,team_season_stats,Altura promedio de la línea defensiva (metros desde portería).
147,points_when_losing_ht_pct,"DECIMAL(5,2)",SOMETIMES,team_season_stats,% de puntos obtenidos cuando iban perdiendo al descanso.
148,temperature_c_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Temperatura exacta al silbatazo inicial. Óptimo: 10-20°C.
149,temperature_c_avg_90m,"DECIMAL(6,3)",SOMETIMES,match_weather,Temperatura media durante el partido completo.
150,wet_bulb_temp_c_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Indicador estrés térmico combinado.
151,humidity_pct_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Porcentaje de humedad. >80% dificulta respiración.
152,wind_speed_mps_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Velocidad viento al inicio. >10 m/s afecta aéreos.
153,wind_speed_mps_avg_90m,"DECIMAL(6,3)",SOMETIMES,match_weather,Velocidad media del viento durante 90min.
154,wind_gust_mps_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Velocidad de ráfagas máximas (impredecibilidad).
155,wind_direction_deg_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Dirección viento 0-360°. Afecta saques y corners.
156,precipitation_mm_hr_at_kickoff,VARCHAR(100),SOMETIMES,match_weather,Intensidad de lluvia al inicio (mm/hora).
157,precipitation_type,VARCHAR(50),SOMETIMES,match_weather,NONE/RAIN/SNOW/HAIL. Nieve/granizo afectan visibilidad.
158,precipitation_mm_total_90m,VARCHAR(100),SOMETIMES,match_weather,Lluvia acumulada durante todo el partido.
159,extreme_condition_flag,BOOLEAN,SOMETIMES,match_weather,"BOOL: Temp >35°C, <0°C, o altitud >2500m."
160,extreme_condition_type,VARCHAR(50),SOMETIMES,match_weather,HEAT/COLD/ALTITUDE/HUMIDITY. Tipo de extremo.
161,pressure_hpa_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Presión barométrica. Cambios correlacionan con lesiones.
162,air_quality_index_at_kickoff,"DECIMAL(6,3)",SOMETIMES,match_weather,Índice contaminación (afecta respiración).
163,visibility_m_at_kickoff,VARCHAR(100),SOMETIMES,match_weather,Distancia visibilidad. <1000m = niebla.
164,weather_change_rate,"DECIMAL(5,2)",SOMETIMES,match_weather,Variación condiciones durante 90min.
165,cloud_cover_pct_at_kickoff,"DECIMAL(5,2)",SOMETIMES,match_weather,Porcentaje de cielo cubierto.
166,weather_alert_flag,BOOLEAN,SOMETIMES,match_weather,BOOL: Alertas oficiales activas.
167,sun_glare_proxy,VARCHAR(100),SOMETIMES,match_weather,Altitud/azimut solar (problemas porteros).
168,dew_point_c_at_kickoff,VARCHAR(100),SOMETIMES,match_weather,Temperatura del punto de rocío (humedad absoluta).
169,heat_index_c_at_kickoff,"DECIMAL(6,3)",SOMETIMES,match_weather,Sensación térmica por humedad alta.
170,pitch_wetness_proxy,VARCHAR(100),SOMETIMES,match_weather,mm lluvia últimas 6h = estado césped.
171,feels_like_c_at_kickoff,BIGINT,SOMETIMES,match_weather,Temperatura percibida con viento (wind chill).
172,lightning_risk_flag,BOOLEAN,SOMETIMES,match_weather,BOOL: Riesgo tormentas eléctricas (suspensiones).
173,daylight_flag,BOOLEAN,SOMETIMES,match_weather,BOOL: Luz natural suficiente al inicio.
174,pitch_condition_prematch,VARCHAR(100),SOMETIMES,match_weather,POOR/FAIR/GOOD/EXCELLENT. Reporte oficial del día.
175,altitude_m,INT,RARE,stadiums,Metros sobre nivel del mar. >1500m afecta rendimiento.
176,stadium_capacity,INT,RARE,stadiums,Aforo máximo de espectadores.
177,pitch_surface_type,VARCHAR(50),SOMETIMES,stadiums,NATURAL/HYBRID/ARTIFICIAL.
178,pitch_quality_rating,"DECIMAL(6,3)",SOMETIMES,stadiums,Rating 1-5 del estado del césped.
179,pitch_width_m,VARCHAR(100),SOMETIMES,stadiums,Anchura del terreno en metros.
180,matches_on_pitch_last_7d,VARCHAR(100),SOMETIMES,stadiums,Partidos jugados en ese césped en última semana.
181,pitch_length_m,VARCHAR(100),SOMETIMES,stadiums,Longitud del terreno en metros.
182,non_sporting_event_last_7d,BOOLEAN,SOMETIMES,stadiums,BOOL: Concierto/evento masivo en últimos 7 días.
183,latitude,"DECIMAL(9,6)",SOMETIMES,stadiums,Coordenada GPS latitud.
184,avg_yellows_per_match,"DECIMAL(5,2)",SOMETIMES,referee_season_stats,Media amarillas por partido.
185,roof_type,VARCHAR(50),SOMETIMES,stadiums,OPEN/RETRACTABLE/CLOSED.
186,days_since_last_event,SMALLINT,SOMETIMES,stadiums,Días desde último concierto/evento masivo en el estadio.
187,stadium_name,VARCHAR(255),SOMETIMES,stadiums,Nombre oficial del recinto deportivo.
188,longitude,"DECIMAL(9,6)",SOMETIMES,stadiums,Coordenada GPS longitud.
189,avg_reds_per_match,VARCHAR(100),SOMETIMES,referee_season_stats,Media rojas por partido.
190,referee_x_home_penalty_rate,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Tasa penaltis señalados favor del local.
191,referee_x_away_penalty_rate,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Tasa penaltis señalados favor del visitante.
192,home_bias_index,"DECIMAL(6,3)",SOMETIMES,referee_season_stats,Índice de sesgo hacia equipos locales.
193,home_win_pct_season,"DECIMAL(5,2)",SOMETIMES,referee_season_stats,% victorias locales con este árbitro.
194,referee_x_away_red_history,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Historial rojas árbitro a este visitante.
195,referee_x_home_red_history,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Historial rojas árbitro a este equipo local.
196,referee_x_away_yellow_rate,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Tasa amarillas del árbitro a este visitante.
197,referee_x_home_fouls_style_match,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Match estilo agresivo local + árbitro estricto.
198,referee_x_home_yellow_rate,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Tasa amarillas del árbitro a este equipo local.
199,referee_x_away_fouls_style_match,"DECIMAL(5,2)",SOMETIMES,referee_match_history,Match estilo agresivo visit + árbitro estricto.
200,avg_fouls_per_match,VARCHAR(100),SOMETIMES,referee_season_stats,Media faltas por partido.
201,draw_pct_season,"DECIMAL(5,2)",SOMETIMES,referee_season_stats,% empates con este árbitro.
202,last_match_controversy_flag,BOOLEAN,SOMETIMES,referee_season_stats,BOOL: Hubo polémica en último partido.
203,full_name,VARCHAR(255),SOMETIMES,referees,Nombre completo del colegiado.
204,years_experience,VARCHAR(100),SOMETIMES,referees,Años totales en máxima categoría.
205,nationality_code,VARCHAR(10),SOMETIMES,referees,País del árbitro.
206,var_overturn_rate,"DECIMAL(5,2)",SOMETIMES,referee_season_stats,% decisiones revertidas por VAR.
207,fouls_per_card_ratio,"DECIMAL(5,2)",SOMETIMES,referee_season_stats,Ratio de tolerancia (faltas/tarjeta).
208,total_matches_career,VARCHAR(100),SOMETIMES,referees,Total partidos dirigidos en carrera.
209,matches_refereed_season,VARCHAR(100),SOMETIMES,referee_season_stats,Partidos dirigidos en temporada.
210,cards_last_3_matches,SMALLINT,SOMETIMES,referee_season_stats,Tarjetas en últimos 3 partidos.
211,avg_penalties_per_match,VARCHAR(100),SOMETIMES,referee_season_stats,Media penaltis señalados.
212,is_fifa_referee,BOOLEAN,SOMETIMES,referees,BOOL: Categoría FIFA internacional.
213,avg_stoppage_time_season,VARCHAR(100),SOMETIMES,referee_season_stats,Tiempo añadido promedio que da.
214,days_since_last_match,SMALLINT,SOMETIMES,match_travel,Días desde el último partido oficial.
215,rest_days_diff_vs_opponent,SMALLINT,SOMETIMES,match_travel,Días descanso local - visitante.
216,rest_days_distribution_xi,"DECIMAL(5,2)",SOMETIMES,match_travel,Percentiles descanso XI probable.
217,travel_distance_km,INT,SOMETIMES,match_travel,Km desde último partido o ciudad base.
218,travel_direction_longitude_delta,"DECIMAL(9,6)",SOMETIMES,match_travel,Cambio longitud (proxy jet lag E-W).
219,altitude_delta_away,INT,SOMETIMES,match_travel,Diferencia altitud estadio vs ciudad base del visitante (m).
220,altitude_delta_home,INT,SOMETIMES,match_travel,Diferencia altitud estadio vs ciudad base del local (m).
221,congested_schedule_flag,BOOLEAN,SOMETIMES,match_travel,BOOL: >3 partidos en 10 días.
222,acclimatization_days,SMALLINT,SOMETIMES,match_travel,Días que el equipo llegó antes para aclimatarse.
223,travel_time_hours,SMALLINT,SOMETIMES,match_travel,Horas estimadas de desplazamiento.
224,matches_in_last_7d,VARCHAR(100),SOMETIMES,match_travel,Partidos jugados última semana.
225,minutes_played_last_14d_squad_sum,SMALLINT,SOMETIMES,match_travel,Suma minutos XI en 14 días.
226,extra_time_last_match,BOOLEAN,SOMETIMES,match_travel,BOOL: Último partido llegó a prórroga.
227,time_zone_delta_hours,SMALLINT,SOMETIMES,match_travel,Diferencia horaria origen-destino.
228,matches_in_last_14d,VARCHAR(100),SOMETIMES,match_travel,Partidos jugados últimas 2 semanas.
229,goals_per90_by_comp_type,SMALLINT,RARE,player_season_stats,"JSON con goles/90min segmentado: league, cup, continental."
230,goals_as_substitute,SMALLINT,RARE,player_season_stats,Goles anotados entrando desde el banquillo.
231,goals_season,SMALLINT,RARE,player_season_stats,Goles anotados en la temporada.
232,goals_to_club_record,SMALLINT,RARE,player_season_stats,Goles que le faltan para ser máximo goleador histórico del club.
233,assists_season,SMALLINT,RARE,player_season_stats,Asistencias en la temporada.
234,save_percentage,"DECIMAL(5,2)",SOMETIMES,player_season_stats,Porcentaje de tiros a puerta detenidos.
235,saves_per_match_avg,"DECIMAL(6,3)",SOMETIMES,player_season_stats,Media de paradas por partido del portero en temporada.
236,penalty_save_percentage,"DECIMAL(5,2)",SOMETIMES,player_season_stats,Porcentaje histórico de penales detenidos.
237,rating_delta_post_injury,"DECIMAL(6,3)",SOMETIMES,player_season_stats,Diferencia rating promedio pre-lesión vs post-lesión.
238,super_sub_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: Rinde mejor entrando de suplente que de titular.
239,same_club_as_parent_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: Juega en mismo club donde su padre fue leyenda.
240,motm_count_season,SMALLINT,SOMETIMES,player_season_stats,Veces elegido MVP/MOTM en la temporada.
241,climate_delta_origin,VARCHAR(100),SOMETIMES,player_season_stats,Diferencia climática vs país de origen (tropical→frío = alto delta).
242,long_pass_accuracy_gk,VARCHAR(100),SOMETIMES,player_season_stats,Precisión en pases largos del portero (juego con el pie).
243,minutes_since_last_goal,SMALLINT,SOMETIMES,player_season_stats,Minutos desde último gol.
244,penalties_faced_career,VARCHAR(100),SOMETIMES,player_season_stats,Total de penales enfrentados en carrera.
245,matches_started_season,VARCHAR(100),SOMETIMES,player_season_stats,Partidos como titular.
246,same_language_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: Idioma nativo = idioma del país de la liga.
247,minutes_played_season,SMALLINT,SOMETIMES,player_season_stats,Minutos totales jugados.
248,duels_won_pct_season,"DECIMAL(5,2)",SOMETIMES,player_season_stats,% de duelos ganados.
249,aerial_claims_success_pct,"DECIMAL(5,2)",SOMETIMES,player_season_stats,"% de éxito en salidas aéreas (corners, centros)."
250,player_xa_season,"DECIMAL(5,2)",SOMETIMES,player_season_stats,Expected Assists del jugador.
251,yellow_cards_season,SMALLINT,SOMETIMES,player_season_stats,Amarillas acumuladas.
252,win_rate_behind_closed_doors,"DECIMAL(5,2)",SOMETIMES,player_season_stats,% victorias históricas en partidos sin público.
253,errors_leading_to_goal,VARCHAR(100),SOMETIMES,player_season_stats,Errores del portero que resultaron en gol rival.
254,shots_season,VARCHAR(100),SOMETIMES,player_season_stats,Total de disparos.
255,assists,SMALLINT,SOMETIMES,player_match_stats,Asistencias en el partido.
256,first_match_after_viral_error,BOOLEAN,SOMETIMES,player_match_stats,BOOL: Es su primer partido después de un error viral.
257,months_in_country,SMALLINT,SOMETIMES,player_season_stats,Meses desde que llegó al país de la liga actual. Proxy adaptación.
258,returned_from_intl_duty,BOOLEAN,SOMETIMES,player_match_stats,BOOL: Jugó con selección en últimos 10 días.
259,intl_duty_travel_km,DATE,SOMETIMES,player_match_stats,Km totales viajados durante la fecha FIFA.
260,injury_recovery_period_flag,BOOLEAN,SOMETIMES,player_match_stats,BOOL: <12 meses desde lesión grave (rendimiento esperado menor).
261,clean_sheets_season,VARCHAR(100),SOMETIMES,player_season_stats,Partidos sin recibir gol en la temporada.
